cell,table,format,schema,granularity,heap,mem_cap,query,nvars,status,http_code,ttfb_ms,total_ms,bytes,peak_heap_mb,peak_anon_mb,peak_charged_mb,oom_killed,error
live_calcofi_casts,casts,parquet,wide,lumped,2g,4g,allvars_das,0,ok,200,5,5,5357,0,0,0,false,""
live_calcofi_casts,casts,parquet,wide,lumped,2g,4g,onevar_1,1,ok,200,1420,1578,1640971,96,1570,2620,false,""
live_calcofi_casts,casts,parquet,wide,lumped,2g,4g,onevar_3,3,ok,200,443,708,3174130,402,1599,2656,false,""
live_calcofi_casts,casts,parquet,wide,lumped,2g,4g,allvars,99,ok,200,596,897,7971672,587,1625,2674,false,""
live_calcofi_dic,dic,parquet,wide,lumped,2g,4g,allvars_das,0,ok,200,6,6,3130,0,0,0,false,""
live_calcofi_dic,dic,parquet,wide,lumped,2g,4g,onevar_1,1,ok,200,1114,1144,248914,93,1568,2618,false,""
live_calcofi_dic,dic,parquet,wide,lumped,2g,4g,onevar_3,3,ok,200,121,176,370848,0,0,0,false,""
live_calcofi_dic,dic,parquet,wide,lumped,2g,4g,allvars,99,ok,200,132,156,411363,0,0,0,false,""
live_calcofi_euphausiids,euphausiids,parquet,wide,lumped,2g,4g,allvars_das,0,ok,200,5,5,3223,0,0,0,false,""
live_calcofi_euphausiids,euphausiids,parquet,wide,lumped,2g,4g,onevar_1,1,ok,200,1093,1157,416283,97,1554,2604,false,""
live_calcofi_euphausiids,euphausiids,parquet,wide,lumped,2g,4g,onevar_3,3,ok,200,158,227,556353,0,0,0,false,""
live_calcofi_euphausiids,euphausiids,parquet,wide,lumped,2g,4g,allvars,99,ok,200,166,262,1469154,0,0,0,false,""
live_calcofi_zooplankton,zooplankton,parquet,wide,lumped,2g,4g,allvars_das,0,ok,200,5,5,4500,0,0,0,false,""
live_calcofi_zooplankton,zooplankton,parquet,wide,lumped,2g,4g,onevar_1,1,ok,200,579,878,4976987,1086,1655,2710,false,""
live_calcofi_zooplankton,zooplankton,parquet,wide,lumped,2g,4g,onevar_3,3,ok,200,782,1017,5987996,72,1667,2721,false,""
live_calcofi_zooplankton,zooplankton,parquet,wide,lumped,2g,4g,allvars,99,ok,200,635,1234,20989424,583,1687,2740,false,""
live_calcofi_phytoplankton,phytoplankton,parquet,wide,lumped,2g,4g,allvars_das,0,ok,200,4,5,3454,0,0,0,false,""
live_calcofi_phytoplankton,phytoplankton,parquet,wide,lumped,2g,4g,onevar_1,1,ok,200,646,1000,8307131,1042,1621,2678,false,""
live_calcofi_phytoplankton,phytoplankton,parquet,wide,lumped,2g,4g,onevar_3,3,ok,200,729,976,10646123,65,1632,2681,false,""
live_calcofi_phytoplankton,phytoplankton,parquet,wide,lumped,2g,4g,allvars,99,ok,200,590,1281,23934852,671,1643,2692,false,""
live_calcofi_ctd_thin,ctd_thin,duckdb,long,view,2g,4g,allvars_das,0,ok,200,6,6,6320,0,0,0,false,""
live_calcofi_ctd_thin,ctd_thin,duckdb,long,view,2g,4g,onevar_1,1,ok,200,1935,2758,19629161,168,1677,2982,false,""
live_calcofi_ctd_thin,ctd_thin,duckdb,long,view,2g,4g,onevar_3,3,ok,200,4711,11965,84171009,908,2857,4067,false,""
live_calcofi_ctd_thin,ctd_thin,duckdb,long,view,2g,4g,allvars,99,oom,000,11977,11977,0,517,3512,4093,true,"container OOM-killed at 4g cap"
live_calcofi_ctd_thin_nc,ctd_thin_nc,netcdf,wide,lumped,2g,4g,allvars_das,0,ok,200,7,8,8657,0,0,0,false,""
live_calcofi_ctd_thin_nc,ctd_thin_nc,netcdf,wide,lumped,2g,4g,onevar_1,1,ok,200,82,2029,28398129,364,1568,2675,false,""
live_calcofi_ctd_thin_nc,ctd_thin_nc,netcdf,wide,lumped,2g,4g,onevar_3,3,ok,200,15,1916,36623116,847,1594,2700,false,""
live_calcofi_ctd_thin_nc,ctd_thin_nc,netcdf,wide,lumped,2g,4g,allvars,99,ok,200,426,3647,83302130,880,1607,2712,false,""
live_calcofi_ctd_measurement,ctd_measurement,duckdb,long,view,2g,4g,allvars_das,0,ok,200,7,7,5864,0,0,0,false,""
live_calcofi_ctd_measurement,ctd_measurement,duckdb,long,view,2g,4g,onevar_1,1,ok,200,4850,17884,309466108,1266,2835,4069,false,""
live_calcofi_ctd_measurement,ctd_measurement,duckdb,long,view,2g,4g,onevar_3,3,oom,000,8262,8262,0,63,3906,4094,true,"container OOM-killed at 4g cap"
live_calcofi_ctd_measurement,ctd_measurement,duckdb,long,view,2g,4g,allvars,99,oom,000,75055,75055,0,163,3989,4095,true,"container OOM-killed at 4g cap"
