table,column,ref_table,ref_column,note
casts,cruise_key,cruise,cruise_key,every bottle cast links to a cruise
casts,ship_key,ship,ship_key,cast ship resolved to NODC ship
casts,grid_key,grid,grid_key,cast spatial grid assignment
ctd_cast,cruise_key,cruise,cruise_key,every CTD cast links to a cruise
ctd_cast,ship_key,ship,ship_key,CTD ship resolved to NODC ship
ctd_cast,grid_key,grid,grid_key,CTD spatial grid assignment
dic_sample,cast_id,casts,cast_id,DIC matched to bottle cast via site_key + datetime (issue #47)
dic_sample,bottle_id,bottle,bottle_id,DIC matched to nearest Niskin bottle by depth_m
euphausiids_tow,cruise_key,cruise,cruise_key,tow cruise derived as YYYY-MM-{ship_nodc} (81.9% matched)
euphausiids_tow,ship_key,ship,ship_key,tow vessel resolved to NODC ship (98.3% matched)
euphausiids_tow,grid_key,grid,grid_key,tow spatial grid assignment
zooplankton_tow,cruise_key,cruise,cruise_key,tow cruise derived as YYYY-MM-{ship_nodc} (66.6% matched)
zooplankton_tow,ship_key,ship,ship_key,tow vessel resolved to NODC ship
zooplankton_tow,grid_key,grid,grid_key,tow spatial grid assignment (98.7% in CalCOFI grid)
bird_mammal_transect,grid_key,grid,grid_key,transect-midpoint grid assignment (100% in CalCOFI grid)
cufes_sample,cruise_key,cruise,cruise_key,underway sample cruise (78% matched)
cufes_sample,ship_key,ship,ship_key,underway sample vessel resolved to NODC ship
cufes_sample,grid_key,grid,grid_key,underway sample grid assignment (95% in CalCOFI grid)
phyllosoma_tow,cruise_key,cruise,cruise_key,tow cruise via ship_nodc + date (88% matched)
phyllosoma_tow,ship_key,ship,ship_key,tow vessel resolved via ship_nodc code (98% matched)
phyllosoma_tow,grid_key,grid,grid_key,tow grid assignment (98% in CalCOFI grid)
phyto_sample,cruise_key,cruise,cruise_key,region-pooled sample cruise matched by year-month (59%; no site_key/grid_key — region-pooled)
zoodb_sample,cruise_key,cruise,cruise_key,sample cruise derived from cruise_orig + ship_nodc + date
zoodb_sample,ship_key,ship,ship_key,unpooled tow vessel resolved to NODC ship
zoodb_sample,grid_key,grid,grid_key,unpooled tow spatial grid assignment
